block_id,page,section,text,language,block_type,status,pair_id
p002_b0016,2,,- 0.3 章节：RL 的范围 - 1.3 章节：RL 的背景信息 此外，MC 将增加为客户设计医疗器械这一范围，编辑如下：,mixed,paragraph,unpaired,
p002_b0017,2,,- 0.3 章节：MC 的范围 - 1.1 章节：MC 的背景信息 - 7.3 章节：删除了“MC 不适用”。 此外，在质量管理体系里加入了新的程序文件QSP0720 风险管理，且将 这个文件分别加入到了0.7 节、7.3.9 节和附录1 里面。,mixed,paragraph,unpaired,
p002_b0018,2,,B,en,paragraph,unpaired,
p002_b0019,2,,"Retraction Limited would be in MC Group QMS, and thus edit",en,paragraph,unpaired,
p002_b0020,2,,27-Aug-2012,en,paragraph,unpaired,
p002_b0021,2,,"- 0.3 section: The scope of RL - 1.3 section: The background information of RL Besides, MC would extend the business scope with design of medical device for the customer, thus edit",en,paragraph,unpaired,
p002_b0022,2,,"- 0.3 section: The scope of MC - 1.1 section: The background information of MC - 7.3 section: Delete the wording of “MC not applicable” Moreover, there is a new QPS0720 Risk Management in MC Group QMS, thus add this procedure in 0.7 section, 7.3.9 section, and Appendix 1",en,paragraph,unpaired,
p002_b0023,2,,「深圳市龙岗区大鹏裕兴制品厂」更名为「裕兴精密科技(深圳)有限公 司」,zh,paragraph,unpaired,
p002_b0024,2,,- 更改封面 - 0.5 章节 - 3.1.1 章节 新增QSP0721 生产物料计划与控制,mixed,paragraph,unpaired,
p002_b0025,2,,- 3.2.11 章节 - 7.5.6 章节 新增临床专家在MC 组织架构中,mixed,paragraph,unpaired,
p002_b0026,2,,C,en,paragraph,unpaired,
p002_b0027,2,,15-Jan-2013,en,paragraph,unpaired,
p002_b0028,2,,- 3.2.2 章节 - 3.2.11 章节 The name of “Shenzhen Longgang Dapeng Yu Hing Manufacturing Company” changed to “Yu Hing Precision Technology (Shenzhen) Company Limited”,mixed,paragraph,unpaired,
p002_b0029,2,,- Update Cover Page - Section 0.5 - Section 3.1.1 Add QSP0721 Production Material Planning and Control,en,paragraph,unpaired,
p002_b0030,2,,- Section 3.2.11,en,paragraph,unpaired,
p003_b0001,3,,质量管理体系Quality Management System 文件编号Doc No.： QM01,mixed,header_footer,header_footer,
p003_b0002,3,,文件版本Doc Rev.： N CR2670 DR0562,mixed,header_footer,header_footer,
p003_b0003,3,,页次Page No.： 第3页共83页,mixed,paragraph,unpaired,
p003_b0004,3,,文 件 名 称 Document Name: 质 量 手 册 Quality Manual,mixed,paragraph,unpaired,
p003_b0006,3,,- Section 7.5.6 Add Clinical Specialist into MC’s organization structure,en,paragraph,unpaired,
p003_b0007,3,,- Section 3.2.2 - Section 3.2.11,en,paragraph,unpaired,
p003_b0008,3,,D - 修改0.3 中MC 和NM 的经营范围； - 将SCAR 新增入0.5 章节中 - 修改3.1.2 中MC 的组织架构 - 新增7.1.2（d）小章节； - 新增7.3.1“策划的输出应形成文件，并适时进行更新”； - 将原章节7.3.3 调整为7.3.2.1，原章节7.3.4 调整为7.3.3，后续章节以,mixed,paragraph,unpaired,
p003_b0009,3,,此类推； - 删除7.5 章节中有关服务章节； - 将原章节8.2.4 章节调整为8.2.3，将原章节8.2.3 中的QSP0806 放入现,mixed,paragraph,unpaired,
p003_b0010,3,,有章节8.2.5 的辅助程序中，后续章节以此类推； - 将QSP0721 加入到附录I 中； - 将ISO13485 标准从2003 版更新为2012 版。,mixed,paragraph,unpaired,
p003_b0012,3,,11-Oct-2013,en,paragraph,unpaired,
p003_b0013,3,,- Modified MC and NM’s business scope in section 0.3. - Add SCAR in section 0.5. - Updated the section 3.2.1 about MC organization chart - Add section (d) in 7.1.2. - Add section (d) in chart MC organization chart appropriating to Section 7.3.1. - Adjust the original section from 7.3.3 to 7.3.2.1 and adjust the original,en,paragraph,unpaired,
p003_b0014,3,,"section from 7.3.4 to 7.3.3, subsequent section by parity of reasoning. - Cancel section 7.5 about service. -Adjust the original section from 8.2.4 to 8.2.3 and put QSP0706 of the original",en,paragraph,unpaired,
p003_b0015,3,,"8.2.3 into Supporting Procedure of existing section 8.2.5, subsequent section by parity of reasoning.",en,paragraph,unpaired,
p003_b0016,3,,- Add QSP0721 in Appendix 1 - Update the standard from ISO 13485:2003 to ISO 13485:2012.,en,paragraph,unpaired,
p003_b0017,3,,E - 将ISO 13485 版本更改为2003，新增BS EN ISO13485：2012 和韩国MFDS,mixed,paragraph,unpaired,
p003_b0018,3,,的医疗器械法令. - 将0.1 目录中的页次进行调整.,zh,paragraph,unpaired,
p003_b0019,3,,13-Nov-2013,en,paragraph,unpaired,
p003_b0020,3,,"- Amend the versions of ISO13485 for 2003, add the BS EN ISO13485:2012 and",en,paragraph,unpaired,
p003_b0021,3,,Korea MFDS-Medical Devices Act in this manual. - Adjust the pages in section 0.1.,en,paragraph,unpaired,
p003_b0022,3,,F -加入了中国相关法规标准,mixed,paragraph,unpaired,
p003_b0023,3,,09-Jul-2014,en,paragraph,unpaired,
p003_b0024,3,,Added china regulation/standard in this procedure -修改0.3 部分公司的范围,mixed,paragraph,unpaired,
p003_b0025,3,,Modified scope of company in 0.3 section,en,paragraph,unpaired,
p004_b0001,4,,质量管理体系Quality Management System 文件编号Doc No.： QM01,mixed,header_footer,header_footer,
p004_b0002,4,,文件版本Doc Rev.： N CR2670 DR0562,mixed,header_footer,header_footer,
p004_b0003,4,,页次Page No.： 第4页共83页,mixed,paragraph,unpaired,
p004_b0004,4,,文 件 名 称 Document Name: 质 量 手 册 Quality Manual,mixed,paragraph,unpaired,
p004_b0006,4,,-修改1.0 公司简介，并新增医创建科技（深圳）有限公司的简介,zh,paragraph,unpaired,
p004_b0007,4,,"Modified introduce of company, and added introduce of MediConcepts",en,paragraph,unpaired,
p004_b0008,4,,Technology (Shenzhen) Company Ltd -在3.1 组织架构中加入管理者代表，并新增医创建科技（深圳）有限公 司架构图,mixed,paragraph,unpaired,
p004_b0009,4,,Added management representative into organization chart and added,en,paragraph,unpaired,
p004_b0010,4,,organization chart of MediConcepts Technology (Shenzhen)Company Ltd. In 3.1 section -删除3.2 中岗位描述中公司名称，并删除 “业务开发总监”描述,mixed,paragraph,unpaired,
p004_b0011,4,,Cancel the company name in position description and cancel the describe of,en,paragraph,unpaired,
p004_b0012,4,,“Business Development President” in 3.2 section. -将文件中“管理代表”更改为“管理者代表”简称,mixed,paragraph,unpaired,
p004_b0013,4,,"Change short name of ""management representative “to full name -增加公司的中文名称",mixed,paragraph,unpaired,
p004_b0014,4,,Added China name of company -增加无菌细则与程序文件的对照在0.7 部分,mixed,paragraph,unpaired,
p004_b0015,4,,Added Matrix between sterility detailed Clauses and the Reference Procedures in 0.7 section. -更改8.2.2 内审每年至少进行2 次,mixed,paragraph,unpaired,
p004_b0016,4,,Updated the internal audit at least twice a year .,en,paragraph,unpaired,
p004_b0017,4,,G -更改首页标志,mixed,paragraph,unpaired,
p004_b0018,4,,Change the logo of Cover Page -删除RL 相关资料,mixed,paragraph,unpaired,
p004_b0019,4,,2018-07-13,number,paragraph,unpaired,
p004_b0020,4,,Deleted all information related to RL -更正内容使适合ISO13485:2016,mixed,paragraph,unpaired,
p004_b0021,4,,Updated content which can fulfill requirement stated in ISO13485:2016,en,paragraph,unpaired,
p004_b0022,4,,H -更正“收集保密健康信息”的描述,mixed,paragraph,unpaired,
p004_b0023,4,,Modified the description in “ collection of confidential health information”,en,paragraph,unpaired,
p004_b0024,4,,-6.4.2 增加说明无菌产品的微生物控制、微粒污染控制在该产品的产品,zh,paragraph,unpaired,
p004_b0025,4,,相关文件中体现,zh,paragraph,unpaired,
p004_b0026,4,,Added document requirements for control of contamination with,en,paragraph,unpaired,
p004_b0027,4,,2018-08-06,number,paragraph,unpaired,
p004_b0028,4,,microorganisms or particulate matter,en,paragraph,unpaired,
p004_b0029,4,,-7.5.8 增加说明仅NM 产品适用医疗器械指定唯一器械标识，代加工产,mixed,paragraph,unpaired,
p004_b0030,4,,品由客户自己控制。,zh,paragraph,unpaired,
p004_b0031,4,,Added description that unique device identification is applicable only to NM,en,paragraph,unpaired,
p004_b0032,4,,product. Client is responsible for the respective OEM product.,en,paragraph,unpaired,
p005_b0001,5,,质量管理体系Quality Management System 文件编号Doc No.： QM01,mixed,header_footer,header_footer,
p005_b0002,5,,文件版本Doc Rev.： N CR2670 DR0562,mixed,header_footer,header_footer,
p005_b0003,5,,页次Page No.： 第5页共83页,mixed,paragraph,unpaired,
p005_b0004,5,,文 件 名 称 Document Name: 质 量 手 册 Quality Manual,mixed,paragraph,unpaired,
p005_b0006,5,,I Added EU MDR in section 0.4.2,en,paragraph,unpaired,
p005_b0007,5,,部份0.4.2 增加EU MDR,mixed,paragraph,unpaired,
p005_b0008,5,,Updated the MDCO to MDD in section 0.4.2,en,paragraph,unpaired,
p005_b0009,5,,部份0.4.2 變更MDCO 為MDD,mixed,paragraph,unpaired,
p005_b0010,5,,Added the definitions / abbreviation of Person Responsible for Regulatory to,en,paragraph,unpaired,
p005_b0011,5,,section 0.5,en,paragraph,unpaired,
p005_b0012,5,,部份0.5 增加法規符合性負責人的定義和簡寫,zh,paragraph,unpaired,
p005_b0013,5,,2021-05-15,number,paragraph,unpaired,
p005_b0014,5,,Added the Person Responsible for Regulatory compliance to organization,en,paragraph,unpaired,
p005_b0015,5,,chart of MediConcepts Limited and Nex Medical Limited in section 3.1,en,paragraph,unpaired,
p005_b0016,5,,部份3.1 增加法規符合性負責人到醫科創建有限公司和力醫療有限公司,zh,paragraph,unpaired,
p005_b0017,5,,的架構表,zh,paragraph,unpaired,
p005_b0018,5,,Added the qualification requirements and responsibilities of Person,en,paragraph,unpaired,
p005_b0019,5,,Responsible for Regulatory in section 3.2,en,paragraph,unpaired,
p005_b0020,5,,部分3.2 增加了法規符合性負責人資格證明要求和職責,zh,paragraph,unpaired,
p005_b0021,5,,J Added the clinical evaluation and PMS documentations in section 4.2.3,en,paragraph,unpaired,
p005_b0022,5,,Added the up-to-date file shall be kept available in launched market,en,paragraph,unpaired,
p005_b0023,5,,2021-07-07,number,paragraph,unpaired,
p005_b0024,5,,"Added the reference to QSP0723- Regulatory Strategy in section 4.2.6, 5.6.4 ,",en,paragraph,unpaired,
p005_b0025,5,,"6.2.3 , 7.2.4 , 7.3.11 , 7.4.4 , 7.5.12 , 8.2.7 and 8.5.4",en,paragraph,unpaired,
p005_b0026,5,,K Updated the typo,en,paragraph,unpaired,
p005_b0027,5,,Updated the QSP0723 to the table in section 0.7,en,paragraph,unpaired,
p005_b0028,5,,2022-07-14,number,paragraph,unpaired,
p005_b0029,5,,Updated the figure in Appendix I,en,paragraph,unpaired,
p005_b0030,5,,L 修改3.2.11.2,mixed,paragraph,unpaired,
p005_b0031,5,,Update 3.2.11.2 2023-11-24,en,paragraph,unpaired,
p005_b0032,5,,M 完善组织架构图，增加市场部下属部门“售后服务部”,mixed,paragraph,unpaired,
p005_b0033,5,,"Improve the organizational chart and add the ""After-sales Service",en,paragraph,unpaired,
p005_b0034,5,,2025-09-17,number,paragraph,unpaired,
p005_b0035,5,,"Department"" as a subordinate department of the Marketing Department.",en,paragraph,unpaired,
p005_b0036,5,,N - 新增1.4「醫創天工 Medifabrica Ltd.」的详细简介,mixed,paragraph,unpaired,
p005_b0037,5,,- 补充3.1.1 集团整体组织构架图,zh,paragraph,unpaired,
p005_b0038,5,,- 新增3.1.5 「Medifabrica Ltd.」的组织架构图,mixed,paragraph,unpaired,
p005_b0040,5,,- 新增 2 个关键职位及职责,zh,paragraph,unpaired,
p005_b0041,5,,（1）研发部门新增3.2.4.3「首席技術執行官（Chief Technology,mixed,paragraph,unpaired,
p005_b0042,5,,Officer）,en,paragraph,unpaired,
p006_b0001,6,,质量管理体系Quality Management System 文件编号Doc No.： QM01,mixed,header_footer,header_footer,
p006_b0002,6,,文件版本Doc Rev.： N CR2670 DR0562,mixed,header_footer,header_footer,
p006_b0003,6,,页次Page No.： 第6页共83页,mixed,paragraph,unpaired,
p006_b0004,6,,文 件 名 称 Document Name: 质 量 手 册 Quality Manual,mixed,paragraph,unpaired,
p006_b0006,6,,（2）新增3.2.12「項目經理（Program Manager）」,mixed,paragraph,unpaired,
p006_b0007,6,,- 修改3.2.5“市场总监Marketing” 为“市场总监或市场经理,mixed,paragraph,unpaired,
p006_b0008,6,,Marketing”,en,paragraph,unpaired,
p006_b0009,6,,- 0.5 定义/简写Definitions/Abbreviation 新增MF,mixed,paragraph,unpaired,
p006_b0010,6,,"- Added a detailed introduction for 1.4 ""Medifabrica Ltd.""",en,paragraph,unpaired,
p006_b0011,6,,- Supplemented 3.1.1 Overall organizational chart of the Group,en,paragraph,unpaired,
p006_b0012,6,,"- Added an organizational chart for 3.1.5 ""Medifabrica Ltd.""",en,paragraph,unpaired,
p006_b0013,6,,- Added 2 key positions and their responsibilities,en,paragraph,unpaired,
p006_b0014,6,,"(1) Added 3.2.4.3 ""Chief Technology Officer (CTO)"" under the R&D",en,paragraph,unpaired,
p006_b0015,6,,Department,en,paragraph,unpaired,
p006_b0016,6,,"(2) Added 3.2.12 ""Program Manager""",en,paragraph,unpaired,
p006_b0017,6,,- Revised the position title in Section 3.2.5.,en,paragraph,unpaired,
p006_b0018,6,,"- Added ""MF"" to 0.5 Definitions/Abbreviations",en,paragraph,unpaired,
p007_b0001,7,,质量管理体系Quality Management System 文件编号Doc No.： QM01,mixed,header_footer,header_footer,
p007_b0002,7,,文件版本Doc Rev.： N CR2670 DR0562,mixed,header_footer,header_footer,
p007_b0003,7,,页次Page No.： 第7页共83页,mixed,paragraph,unpaired,
p007_b0004,7,,文 件 名 称 Document Name: 质 量 手 册 Quality Manual,mixed,paragraph,unpaired,
p007_b0006,7,0.1,0.1 目录Table of Contents,mixed,heading,unpaired,
p007_b0007,7,0.1,章节Chapter 标题Titles 页码Page 封面Cover Page 1 更改历史记录History of Change 2 0.1 目录Table of Contents 7 0.2 目的Purpose 7 0.3 范围Scope 9 0.4 参考文件References Document 11 0.5 定义/简写Definitions/Abbreviation 12 0.6 分发控制Distribution Control 13 0.7 相关程序与ISO13485 医疗器械无菌实施细则条款对照表 14 Matrix between ISO 13485 Clauses ，Sterility detailed Clauses and the Reference,mixed,paragraph,unpaired,
p007_b0009,7,0.1,Procedures,en,paragraph,unpaired,
p007_b0010,7,0.1,"1.0 公司简介Company History 20 2.0 质量方针和目标Quality Policy and Objective 23 3.0 组织与职责Company Organization & Responsibility 24 3.1 组织架构Organization Charts 24 3.2 权力和职位Authority and Position 28 4.0 质量管理体系Quality Management System 36 4.1 总则General requirements 36 4.2 文件要求Documentation Requirements 38 5.0 管理职责Management Responsibility 42 5.1 管理承诺Management Commitment 42 5.2 以顾客关注为焦点Customer focus 42 5.3 质量方针Quality policy 42 5.4 策划Planning 43 5.5 职责、权限和沟通Responsibility, authority and communication 44 5.6 管理评审Management review 46 6.0 资源管理Resource Management 48 6.1 资源提供Provision of resources 48 6.2 人力资源Human resources 48 6.3 基础设施Infrastructure 50 6.4 工作环境Work environment 51 7.0 产品实现Product Realization 53 7.1 产品实现的策划Planning of product realization 53 7.2 与客户相关的过程Customer-related process 54 7.3 设计和开发Design and development 56 7.4 采购Purchasing 62 7.5 生产提供Production provision 65 7.6 监控和测量装置的控制Control of monitoring and measuring devices 71 8.0 测量、分析和改进Measurement, analysis and improvement 73 8.1 总则General 73 8.2 监控和测量Monitoring and measurement 74",mixed,paragraph,unpaired,
p008_b0001,8,0.1,质量管理体系Quality Management System 文件编号Doc No.： QM01,mixed,header_footer,header_footer,
p008_b0002,8,0.1,文件版本Doc Rev.： N CR2670 DR0562,mixed,header_footer,header_footer,
p008_b0003,8,0.1,页次Page No.： 第8页共83页,mixed,paragraph,unpaired,
p008_b0004,8,0.1,文 件 名 称 Document Name: 质 量 手 册 Quality Manual,mixed,header_footer,header_footer,
p008_b0006,8,0.1,8.3 不合格品控制Control of nonconforming product 78 8.4 数据分析Analysis of data 80 8.5 改进Improvement 81 附录I Appendix I 83,mixed,paragraph,unpaired,
p009_b0001,9,0.1,质量管理体系Quality Management System 文件编号Doc No.： QM01,mixed,header_footer,header_footer,
p009_b0002,9,0.1,文件版本Doc Rev.： N CR2670 DR0562,mixed,header_footer,header_footer,
p009_b0003,9,0.1,页次Page No.： 第9页共83页,mixed,paragraph,unpaired,
p009_b0004,9,0.1,文 件 名 称 Document Name: 质 量 手 册 Quality Manual,mixed,paragraph,unpaired,
p009_b0006,9,0.2,0.2 目的Purpose,mixed,heading,unpaired,
p009_b0008,9,0.2,本手册之目的是描述医疗器械制造采用的质量管理体系。,zh,paragraph,unpaired,
p009_b0009,9,0.2,The purpose of this manual is to describe in broad terms the Quality Management Systems adopted in the,en,paragraph,unpaired,
p009_b0010,9,0.2,manufacturing of medical devices.,en,paragraph,unpaired,
p009_b0011,9,0.2,本手册由品质主管、品质经理和总经理（管理者代表）编写，并获董事总经理批准。,zh,paragraph,unpaired,
p009_b0012,9,0.2,"This manual is prepared by Quality Assurance Supervisor, Quality Manager and General Manager (Management",en,paragraph,unpaired,
p009_b0013,9,0.2,"Representative), and approved by Managing Director.",en,paragraph,unpaired,
p009_b0014,9,0.2,本手册的各章节均有章节号，其与章节0.1“目录”所示相同。,zh,paragraph,unpaired,
p009_b0015,9,0.2,"Each chapter in this manual has a chapter number and revision code, which is shown in Chapter 0.1: Table of",en,paragraph,unpaired,
p009_b0016,9,0.2,Contents”.,en,paragraph,unpaired,
p009_b0017,9,0.2,本手册如有修订，变更的细节将在“更改历史记录”章节内记录。,zh,paragraph,unpaired,
p009_b0018,9,0.2,"If this manual is to be revised, all the change details will be recorded in the chapter of “History of Change”.",en,paragraph,unpaired,
p009_b0019,9,0.2,本手册内出现的所有法律法规及标准文件，其引用的版本号，均以DCC 发行的法规总表为准。如本手册,mixed,paragraph,unpaired,
p009_b0020,9,0.2,中出现的法律法规及标准文件信息与法规总表有差异时，以法规总表为准。,zh,paragraph,unpaired,
p009_b0021,9,0.2,Any discrepancies between the revision of all regulations and specification documents in this manual and,en,paragraph,unpaired,
p009_b0022,9,0.2,"Regulation Summary Table released by DCC department, Regulation Summary Table will prevail. If there is any",en,paragraph,unpaired,
p009_b0023,9,0.2,discrepancies between the content of all regulations and specification documents in this manual and Regulation,en,paragraph,unpaired,
p009_b0024,9,0.2,"Summary Table released by DCC department, Regulation Summary Table will prevail.",en,paragraph,unpaired,
p010_b0001,10,0.2,质量管理体系Quality Management System 文件编号Doc No.： QM01,mixed,header_footer,header_footer,
p010_b0002,10,0.2,文件版本Doc Rev.： N CR2670 DR0562,mixed,header_footer,header_footer,
p010_b0003,10,0.2,页次Page No.： 第10页共83页,mixed,paragraph,unpaired,
p010_b0004,10,0.2,文 件 名 称 Document Name: 质 量 手 册 Quality Manual,mixed,paragraph,unpaired,
p010_b0006,10,0.3,0.3 范围Scope,mixed,heading,unpaired,
p010_b0007,10,0.3,本手册中所描述的质量管理体系适用于本公司所有医疗器械，该体系是基于0.4.1 中所列的标准为指 导文件建立；其满足0.4.2 中所列的适用的法规要求。,zh,paragraph,unpaired,
p010_b0008,10,0.3,The Quality Management System described in this manual applies to all medical devices and is e stablished based on the requirements stated in section 0.4.1. It is intended to meet the regulatio n requirements stated in section 0.4.2.,en,paragraph,unpaired,
p010_b0010,10,0.3,现时，医科创建集团从事于为客户设计、生产、销售塑料及金属外科手术医疗器械和配件。MC 具有,mixed,paragraph,unpaired,
p010_b0011,10,0.3,生产II 类医疗器械的能力（美国的II 类医疗器械、欧盟的II a 及II b 类医疗器械），这些都是一次性 使用器械，包括一次性腹腔手术器械，招风耳矫正器，组织搅拌器、深喉器、硅胶阀及其它相关配件； 这些都不是植入性器械。其中部分器械成品是未灭菌交付客户的，其它的器械是需要通过第三方灭菌 公司进行灭菌后交付客户的。,mixed,paragraph,unpaired,
p010_b0012,10,0.3,"MediConcepts Group is engaged in the design, manufacture, and sales of plastic and metallic surgi cal devices and components. MediConcepts with specifications developed by or in conjunction with the customer medical devices (Class II is for FDA. Class IIa / IIb is for EU). These devices are mainly single use, including sterile single use laparoscopic and endoscopic instruments; earfold intr oducer; tissue mincing device; laryngoscopes blades; silicone valves and plastic components used i n medical devices which are not active implantable devices. Some of the devices are manufactur ed as finished products ready for sterilization, others may require the product to be sterilized via third party sterilization companies.",en,paragraph,unpaired,
p010_b0014,10,0.3,另外，力医疗从事于设计、制造、销售一次性腹腔及胸腔穿刺套管及其它一次性腹腔手术器械。另有 设计开发的能力，不时参与于其它医疗器械开发，例如：力医疗参与耳支架的设计。,zh,paragraph,unpaired,
p010_b0015,10,0.3,"Nex Medical Limited is engaged in the design, manufacture, sales and distribution of single use e ndoscopic trocars and other single use laparoscopic instruments. Nex Medical have product develo pment capabilities and have been, from time to time, engaged in the design of other medical de vices: for example the design of the introducer for the Earfold Introducer.",en,paragraph,unpaired,
p010_b0017,10,0.3,MC、MCDP 及NM 所生产的产品没有安装和服务的要求，也不是植入性医疗器械。,mixed,paragraph,unpaired,
p010_b0018,10,0.3,"No component product or device produced by MediConcepts, MediConcepts Technology or Nex M edical require installation, service or are active implantable devices.",en,paragraph,unpaired,
p010_b0019,10,0.3,本集团公司制造的产品/配件无安装和服务的特定要求，也不是有源植入医疗器械。故本质量管理 体系不适用7.5.3、7.5.4 和7.5.9.b)条款。,mixed,paragraph,unpaired,
p010_b0020,10,0.3,"Products and/or components currently manufactured by our Group do not have particular requirements in relation to installation and service. Products and/or components are not active implantable devices. Thus, the Quality Management System excludes the clauses 7.5.3, 7.5.4 and 7.5.9.b).",en,paragraph,unpaired,
p011_b0001,11,0.3,质量管理体系Quality Management System 文件编号Doc No.： QM01,mixed,header_footer,header_footer,
p011_b0002,11,0.3,文件版本Doc Rev.： N CR2670 DR0562,mixed,header_footer,header_footer,
p011_b0003,11,0.3,页次Page No.： 第11页共83页,mixed,paragraph,unpaired,
p011_b0004,11,0.3,文 件 名 称 Document Name: 质 量 手 册 Quality Manual,mixed,paragraph,unpaired,
p011_b0007,11,0.4,0.4 参考文件References Document,mixed,heading,unpaired,
p011_b0009,11,0.4.1,0.4.1 质量管理体系标准 Quality Management System Specification,mixed,heading,unpaired,
p011_b0010,11,0.4.1,ISO-13485 质量管理体系–医疗器械–质量管理体系–用于法规的要求,mixed,paragraph,unpaired,
p011_b0011,11,0.4.1,Quality Management Systems – Medical devices- Quality Management Systems – Requirements for regulatory purpose,en,paragraph,unpaired,
p011_b0012,11,0.4.1,BS EN ISO 13485 英国标准协会-医疗器械–质量管理体系–用于法规的要求,mixed,paragraph,unpaired,
p011_b0013,11,0.4.1,BSI Standards publication-Medical devices – Quality Management Systems – Requirements for regulatory purpose,en,paragraph,unpaired,
p011_b0015,11,0.4.2,0.4.2 适用法规 Suitable Regulations,mixed,heading,unpaired,
p011_b0016,11,0.4.2,EU MDD 欧盟医疗器械指南 93/42/EEC,mixed,paragraph,unpaired,
p011_b0017,11,0.4.2,EU Council Directive 93/42/EEC Medical Device,en,paragraph,unpaired,
p011_b0018,11,0.4.2,"EU MDR Regulation (EU) 2017/745 of the European Parliament and of the Council of 5 April 2017 on medical devices, amending Directive 2001/83/EC, Regulation (EC) No 178/2002 and Regulation (EC) No 1223/2009 and repealing Council Directives 90/385/EEC and 93/42/EEC",en,paragraph,unpaired,
p011_b0019,11,0.4.2,21 CFR Part 820 质量体系法规 Quality System Regulations,mixed,paragraph,unpaired,
p011_b0020,11,0.4.2,Canadian MDR 加拿大医疗器械符合性评价体系(CMDCAS) Canadian Medical Devices Conformity Assessment System (CMDCAS),mixed,paragraph,unpaired,
p011_b0021,11,0.4.2,中国医疗器械法规 China Medical Devices Act,mixed,paragraph,unpaired,
p011_b0022,11,0.4.2,YY0033-无菌医疗器械生产管理规范 国务院令第650 号-医疗器械监督管理条例 YY/T 0287-医疗器械质量管理体系用于法规的要求 医疗器械生产质量管理规范,mixed,paragraph,unpaired,
p011_b0023,11,0.4.2,MDD 医疗仪器的规管—第Ⅱ/Ⅲ/Ⅳ级医疗仪器表列指南—指南：GN-02,mixed,paragraph,unpaired,
p012_b0001,12,0.4.2,质量管理体系Quality Management System 文件编号Doc No.： QM01,mixed,header_footer,header_footer,
p012_b0002,12,0.4.2,文件版本Doc Rev.： N CR2670 DR0562,mixed,header_footer,header_footer,
p012_b0003,12,0.4.2,页次Page No.： 第12页共83页,mixed,paragraph,unpaired,
p012_b0004,12,0.4.2,文 件 名 称 Document Name: 质 量 手 册 Quality Manual,mixed,paragraph,unpaired,
p012_b0006,12,0.5,0.5 定义/简写Definitions/Abbreviation,mixed,heading,unpaired,
p012_b0007,12,0.5,ASL 合格外发加工/生产商名册Approved Supplier List,mixed,paragraph,unpaired,
p012_b0008,12,0.5,AVL 合格供应商名册Approved Vendor List,mixed,paragraph,unpaired,
p012_b0009,12,0.5,"Company Means any one of MC, NM",en,paragraph,unpaired,
